4_14_2 - 5_14_3
Input-Output Pair 0: [Failure revealed! (not pass threshold), 18 - ['mutation/subjects/output/c1/ast/evo27/starchat/evo27_15_ast_4_14_2_1.txt', 'mutation/subjects/output/c1/ast/evo27/starchat/evo27_15_ast_4_14_2_10.txt', 'mutation/subjects/output/c1/ast/evo27/starchat/evo27_15_ast_4_14_2_2.txt', 'mutation/subjects/output/c1/ast/evo27/starchat/evo27_15_ast_4_14_2_3.txt', 'mutation/subjects/output/c1/ast/evo27/starchat/evo27_15_ast_4_14_2_4.txt', 'mutation/subjects/output/c1/ast/evo27/starchat/evo27_15_ast_4_14_2_5.txt', 'mutation/subjects/output/c1/ast/evo27/starchat/evo27_15_ast_4_14_2_6.txt', 'mutation/subjects/output/c1/ast/evo27/starchat/evo27_15_ast_4_14_2_7.txt', 'mutation/subjects/output/c1/ast/evo27/starchat/evo27_15_ast_4_14_2_8.txt', 'mutation/subjects/output/c1/ast/evo27/starchat/evo27_15_ast_4_14_2_9.txt', 'mutation/subjects/output/c1/ast/evo27/starchat/evo27_15_ast_5_14_3_1.txt', 'mutation/subjects/output/c1/ast/evo27/starchat/evo27_15_ast_5_14_3_2.txt', 'mutation/subjects/output/c1/ast/evo27/starchat/evo27_15_ast_5_14_3_3.txt', 'mutation/subjects/output/c1/ast/evo27/starchat/evo27_15_ast_5_14_3_4.txt', 'mutation/subjects/output/c1/ast/evo27/starchat/evo27_15_ast_5_14_3_6.txt', 'mutation/subjects/output/c1/ast/evo27/starchat/evo27_15_ast_5_14_3_7.txt', 'mutation/subjects/output/c1/ast/evo27/starchat/evo27_15_ast_5_14_3_8.txt', 'mutation/subjects/output/c1/ast/evo27/starchat/evo27_15_ast_5_14_3_9.txt']][false positive (not verified) (not pass threshold), 2 - ['mutation/subjects/output/c1/ast/evo27/starchat/evo27_15_ast_5_14_3_10.txt', 'mutation/subjects/output/c1/ast/evo27/starchat/evo27_15_ast_5_14_3_5.txt']]
Input-Output Pair 27: [Failure revealed! (not pass threshold), 17 - ['mutation/subjects/output/c1/ast/evo27/starchat/evo27_15_ast_14_14_5_1.txt', 'mutation/subjects/output/c1/ast/evo27/starchat/evo27_15_ast_14_14_5_2.txt', 'mutation/subjects/output/c1/ast/evo27/starchat/evo27_15_ast_14_14_5_3.txt', 'mutation/subjects/output/c1/ast/evo27/starchat/evo27_15_ast_14_14_5_4.txt', 'mutation/subjects/output/c1/ast/evo27/starchat/evo27_15_ast_14_14_5_5.txt', 'mutation/subjects/output/c1/ast/evo27/starchat/evo27_15_ast_14_14_5_6.txt', 'mutation/subjects/output/c1/ast/evo27/starchat/evo27_15_ast_14_14_5_7.txt', 'mutation/subjects/output/c1/ast/evo27/starchat/evo27_15_ast_14_14_5_9.txt', 'mutation/subjects/output/c1/ast/evo27/starchat/evo27_15_ast_5_14_3_1.txt', 'mutation/subjects/output/c1/ast/evo27/starchat/evo27_15_ast_5_14_3_10.txt', 'mutation/subjects/output/c1/ast/evo27/starchat/evo27_15_ast_5_14_3_2.txt', 'mutation/subjects/output/c1/ast/evo27/starchat/evo27_15_ast_5_14_3_3.txt', 'mutation/subjects/output/c1/ast/evo27/starchat/evo27_15_ast_5_14_3_4.txt', 'mutation/subjects/output/c1/ast/evo27/starchat/evo27_15_ast_5_14_3_6.txt', 'mutation/subjects/output/c1/ast/evo27/starchat/evo27_15_ast_5_14_3_7.txt', 'mutation/subjects/output/c1/ast/evo27/starchat/evo27_15_ast_5_14_3_8.txt', 'mutation/subjects/output/c1/ast/evo27/starchat/evo27_15_ast_5_14_3_9.txt']][false positive (not verified) (not pass threshold), 1 - ['mutation/subjects/output/c1/ast/evo27/starchat/evo27_15_ast_5_14_3_5.txt']]
Input-Output Pair 28: [pass correct (not pass threshold), 14 - ['mutation/subjects/output/c1/ast/evo27/starchat/evo27_15_ast_14_14_5_1.txt', 'mutation/subjects/output/c1/ast/evo27/starchat/evo27_15_ast_14_14_5_2.txt', 'mutation/subjects/output/c1/ast/evo27/starchat/evo27_15_ast_14_14_5_3.txt', 'mutation/subjects/output/c1/ast/evo27/starchat/evo27_15_ast_14_14_5_4.txt', 'mutation/subjects/output/c1/ast/evo27/starchat/evo27_15_ast_14_14_5_5.txt', 'mutation/subjects/output/c1/ast/evo27/starchat/evo27_15_ast_14_14_5_6.txt', 'mutation/subjects/output/c1/ast/evo27/starchat/evo27_15_ast_14_14_5_7.txt', 'mutation/subjects/output/c1/ast/evo27/starchat/evo27_15_ast_14_14_5_9.txt', 'mutation/subjects/output/c1/ast/evo27/starchat/evo27_15_ast_5_14_3_2.txt', 'mutation/subjects/output/c1/ast/evo27/starchat/evo27_15_ast_5_14_3_3.txt', 'mutation/subjects/output/c1/ast/evo27/starchat/evo27_15_ast_5_14_3_4.txt', 'mutation/subjects/output/c1/ast/evo27/starchat/evo27_15_ast_5_14_3_6.txt', 'mutation/subjects/output/c1/ast/evo27/starchat/evo27_15_ast_5_14_3_7.txt', 'mutation/subjects/output/c1/ast/evo27/starchat/evo27_15_ast_5_14_3_9.txt']][false positive (not verified) (not pass threshold), 2 - ['mutation/subjects/output/c1/ast/evo27/starchat/evo27_15_ast_5_14_3_1.txt', 'mutation/subjects/output/c1/ast/evo27/starchat/evo27_15_ast_5_14_3_8.txt']][false positive (not verified) (not pass threshold), 2 - ['mutation/subjects/output/c1/ast/evo27/starchat/evo27_15_ast_5_14_3_10.txt', 'mutation/subjects/output/c1/ast/evo27/starchat/evo27_15_ast_5_14_3_5.txt']]
Input-Output Pair 29: [Failure revealed! (not pass threshold), 14 - ['mutation/subjects/output/c1/ast/evo27/starchat/evo27_15_ast_14_14_5_1.txt', 'mutation/subjects/output/c1/ast/evo27/starchat/evo27_15_ast_14_14_5_2.txt', 'mutation/subjects/output/c1/ast/evo27/starchat/evo27_15_ast_14_14_5_4.txt', 'mutation/subjects/output/c1/ast/evo27/starchat/evo27_15_ast_14_14_5_5.txt', 'mutation/subjects/output/c1/ast/evo27/starchat/evo27_15_ast_14_14_5_6.txt', 'mutation/subjects/output/c1/ast/evo27/starchat/evo27_15_ast_14_14_5_7.txt', 'mutation/subjects/output/c1/ast/evo27/starchat/evo27_15_ast_14_14_5_9.txt', 'mutation/subjects/output/c1/ast/evo27/starchat/evo27_15_ast_5_14_3_10.txt', 'mutation/subjects/output/c1/ast/evo27/starchat/evo27_15_ast_5_14_3_2.txt', 'mutation/subjects/output/c1/ast/evo27/starchat/evo27_15_ast_5_14_3_3.txt', 'mutation/subjects/output/c1/ast/evo27/starchat/evo27_15_ast_5_14_3_4.txt', 'mutation/subjects/output/c1/ast/evo27/starchat/evo27_15_ast_5_14_3_6.txt', 'mutation/subjects/output/c1/ast/evo27/starchat/evo27_15_ast_5_14_3_7.txt', 'mutation/subjects/output/c1/ast/evo27/starchat/evo27_15_ast_5_14_3_9.txt']][false positive (not verified) (not pass threshold), 2 - ['mutation/subjects/output/c1/ast/evo27/starchat/evo27_15_ast_5_14_3_1.txt', 'mutation/subjects/output/c1/ast/evo27/starchat/evo27_15_ast_5_14_3_8.txt']][false positive (not verified) (not pass threshold), 1 - ['mutation/subjects/output/c1/ast/evo27/starchat/evo27_15_ast_14_14_5_3.txt']][false positive (not verified) (not pass threshold), 1 - ['mutation/subjects/output/c1/ast/evo27/starchat/evo27_15_ast_5_14_3_5.txt']]
Input-Output Pair 30: [Failure revealed! (not pass threshold), 14 - ['mutation/subjects/output/c1/ast/evo27/starchat/evo27_15_ast_14_14_5_1.txt', 'mutation/subjects/output/c1/ast/evo27/starchat/evo27_15_ast_14_14_5_2.txt', 'mutation/subjects/output/c1/ast/evo27/starchat/evo27_15_ast_14_14_5_4.txt', 'mutation/subjects/output/c1/ast/evo27/starchat/evo27_15_ast_14_14_5_5.txt', 'mutation/subjects/output/c1/ast/evo27/starchat/evo27_15_ast_14_14_5_6.txt', 'mutation/subjects/output/c1/ast/evo27/starchat/evo27_15_ast_14_14_5_7.txt', 'mutation/subjects/output/c1/ast/evo27/starchat/evo27_15_ast_14_14_5_9.txt', 'mutation/subjects/output/c1/ast/evo27/starchat/evo27_15_ast_5_14_3_10.txt', 'mutation/subjects/output/c1/ast/evo27/starchat/evo27_15_ast_5_14_3_2.txt', 'mutation/subjects/output/c1/ast/evo27/starchat/evo27_15_ast_5_14_3_3.txt', 'mutation/subjects/output/c1/ast/evo27/starchat/evo27_15_ast_5_14_3_4.txt', 'mutation/subjects/output/c1/ast/evo27/starchat/evo27_15_ast_5_14_3_6.txt', 'mutation/subjects/output/c1/ast/evo27/starchat/evo27_15_ast_5_14_3_7.txt', 'mutation/subjects/output/c1/ast/evo27/starchat/evo27_15_ast_5_14_3_9.txt']][false positive (not verified) (not pass threshold), 2 - ['mutation/subjects/output/c1/ast/evo27/starchat/evo27_15_ast_5_14_3_1.txt', 'mutation/subjects/output/c1/ast/evo27/starchat/evo27_15_ast_5_14_3_8.txt']][false positive (not verified) (not pass threshold), 1 - ['mutation/subjects/output/c1/ast/evo27/starchat/evo27_15_ast_14_14_5_3.txt']][false positive (not verified) (not pass threshold), 1 - ['mutation/subjects/output/c1/ast/evo27/starchat/evo27_15_ast_5_14_3_5.txt']]
Input-Output Pair 31: [Failure revealed! (not pass threshold), 14 - ['mutation/subjects/output/c1/ast/evo27/starchat/evo27_15_ast_14_14_5_1.txt', 'mutation/subjects/output/c1/ast/evo27/starchat/evo27_15_ast_14_14_5_2.txt', 'mutation/subjects/output/c1/ast/evo27/starchat/evo27_15_ast_14_14_5_3.txt', 'mutation/subjects/output/c1/ast/evo27/starchat/evo27_15_ast_14_14_5_4.txt', 'mutation/subjects/output/c1/ast/evo27/starchat/evo27_15_ast_14_14_5_5.txt', 'mutation/subjects/output/c1/ast/evo27/starchat/evo27_15_ast_14_14_5_6.txt', 'mutation/subjects/output/c1/ast/evo27/starchat/evo27_15_ast_14_14_5_7.txt', 'mutation/subjects/output/c1/ast/evo27/starchat/evo27_15_ast_14_14_5_9.txt', 'mutation/subjects/output/c1/ast/evo27/starchat/evo27_15_ast_5_14_3_2.txt', 'mutation/subjects/output/c1/ast/evo27/starchat/evo27_15_ast_5_14_3_3.txt', 'mutation/subjects/output/c1/ast/evo27/starchat/evo27_15_ast_5_14_3_4.txt', 'mutation/subjects/output/c1/ast/evo27/starchat/evo27_15_ast_5_14_3_6.txt', 'mutation/subjects/output/c1/ast/evo27/starchat/evo27_15_ast_5_14_3_7.txt', 'mutation/subjects/output/c1/ast/evo27/starchat/evo27_15_ast_5_14_3_9.txt']][false positive (not verified) (not pass threshold), 2 - ['mutation/subjects/output/c1/ast/evo27/starchat/evo27_15_ast_5_14_3_1.txt', 'mutation/subjects/output/c1/ast/evo27/starchat/evo27_15_ast_5_14_3_8.txt']][false positive (not verified) (not pass threshold), 2 - ['mutation/subjects/output/c1/ast/evo27/starchat/evo27_15_ast_5_14_3_10.txt', 'mutation/subjects/output/c1/ast/evo27/starchat/evo27_15_ast_5_14_3_5.txt']]
Input-Output Pair 32: [Failure revealed! (not pass threshold), 15 - ['mutation/subjects/output/c1/ast/evo27/starchat/evo27_15_ast_14_14_5_1.txt', 'mutation/subjects/output/c1/ast/evo27/starchat/evo27_15_ast_14_14_5_2.txt', 'mutation/subjects/output/c1/ast/evo27/starchat/evo27_15_ast_14_14_5_3.txt', 'mutation/subjects/output/c1/ast/evo27/starchat/evo27_15_ast_14_14_5_4.txt', 'mutation/subjects/output/c1/ast/evo27/starchat/evo27_15_ast_14_14_5_5.txt', 'mutation/subjects/output/c1/ast/evo27/starchat/evo27_15_ast_14_14_5_6.txt', 'mutation/subjects/output/c1/ast/evo27/starchat/evo27_15_ast_14_14_5_7.txt', 'mutation/subjects/output/c1/ast/evo27/starchat/evo27_15_ast_14_14_5_9.txt', 'mutation/subjects/output/c1/ast/evo27/starchat/evo27_15_ast_5_14_3_10.txt', 'mutation/subjects/output/c1/ast/evo27/starchat/evo27_15_ast_5_14_3_2.txt', 'mutation/subjects/output/c1/ast/evo27/starchat/evo27_15_ast_5_14_3_3.txt', 'mutation/subjects/output/c1/ast/evo27/starchat/evo27_15_ast_5_14_3_4.txt', 'mutation/subjects/output/c1/ast/evo27/starchat/evo27_15_ast_5_14_3_6.txt', 'mutation/subjects/output/c1/ast/evo27/starchat/evo27_15_ast_5_14_3_7.txt', 'mutation/subjects/output/c1/ast/evo27/starchat/evo27_15_ast_5_14_3_9.txt']][false positive (not verified) (not pass threshold), 2 - ['mutation/subjects/output/c1/ast/evo27/starchat/evo27_15_ast_5_14_3_1.txt', 'mutation/subjects/output/c1/ast/evo27/starchat/evo27_15_ast_5_14_3_8.txt']][false positive (not verified) (not pass threshold), 1 - ['mutation/subjects/output/c1/ast/evo27/starchat/evo27_15_ast_5_14_3_5.txt']]
Input-Output Pair 33: [Failure revealed! (not pass threshold), 14 - ['mutation/subjects/output/c1/ast/evo27/starchat/evo27_15_ast_14_14_5_1.txt', 'mutation/subjects/output/c1/ast/evo27/starchat/evo27_15_ast_14_14_5_2.txt', 'mutation/subjects/output/c1/ast/evo27/starchat/evo27_15_ast_14_14_5_3.txt', 'mutation/subjects/output/c1/ast/evo27/starchat/evo27_15_ast_14_14_5_4.txt', 'mutation/subjects/output/c1/ast/evo27/starchat/evo27_15_ast_14_14_5_5.txt', 'mutation/subjects/output/c1/ast/evo27/starchat/evo27_15_ast_14_14_5_6.txt', 'mutation/subjects/output/c1/ast/evo27/starchat/evo27_15_ast_14_14_5_7.txt', 'mutation/subjects/output/c1/ast/evo27/starchat/evo27_15_ast_14_14_5_9.txt', 'mutation/subjects/output/c1/ast/evo27/starchat/evo27_15_ast_5_14_3_2.txt', 'mutation/subjects/output/c1/ast/evo27/starchat/evo27_15_ast_5_14_3_3.txt', 'mutation/subjects/output/c1/ast/evo27/starchat/evo27_15_ast_5_14_3_4.txt', 'mutation/subjects/output/c1/ast/evo27/starchat/evo27_15_ast_5_14_3_6.txt', 'mutation/subjects/output/c1/ast/evo27/starchat/evo27_15_ast_5_14_3_7.txt', 'mutation/subjects/output/c1/ast/evo27/starchat/evo27_15_ast_5_14_3_9.txt']][false positive (not verified) (not pass threshold), 2 - ['mutation/subjects/output/c1/ast/evo27/starchat/evo27_15_ast_5_14_3_1.txt', 'mutation/subjects/output/c1/ast/evo27/starchat/evo27_15_ast_5_14_3_8.txt']][false positive (not verified) (not pass threshold), 2 - ['mutation/subjects/output/c1/ast/evo27/starchat/evo27_15_ast_5_14_3_10.txt', 'mutation/subjects/output/c1/ast/evo27/starchat/evo27_15_ast_5_14_3_5.txt']]
Input-Output Pair 34: [Failure revealed! (not pass threshold), 14 - ['mutation/subjects/output/c1/ast/evo27/starchat/evo27_15_ast_14_14_5_1.txt', 'mutation/subjects/output/c1/ast/evo27/starchat/evo27_15_ast_14_14_5_2.txt', 'mutation/subjects/output/c1/ast/evo27/starchat/evo27_15_ast_14_14_5_3.txt', 'mutation/subjects/output/c1/ast/evo27/starchat/evo27_15_ast_14_14_5_4.txt', 'mutation/subjects/output/c1/ast/evo27/starchat/evo27_15_ast_14_14_5_5.txt', 'mutation/subjects/output/c1/ast/evo27/starchat/evo27_15_ast_14_14_5_6.txt', 'mutation/subjects/output/c1/ast/evo27/starchat/evo27_15_ast_14_14_5_7.txt', 'mutation/subjects/output/c1/ast/evo27/starchat/evo27_15_ast_14_14_5_9.txt', 'mutation/subjects/output/c1/ast/evo27/starchat/evo27_15_ast_5_14_3_2.txt', 'mutation/subjects/output/c1/ast/evo27/starchat/evo27_15_ast_5_14_3_3.txt', 'mutation/subjects/output/c1/ast/evo27/starchat/evo27_15_ast_5_14_3_4.txt', 'mutation/subjects/output/c1/ast/evo27/starchat/evo27_15_ast_5_14_3_6.txt', 'mutation/subjects/output/c1/ast/evo27/starchat/evo27_15_ast_5_14_3_7.txt', 'mutation/subjects/output/c1/ast/evo27/starchat/evo27_15_ast_5_14_3_9.txt']][false positive (not verified) (not pass threshold), 2 - ['mutation/subjects/output/c1/ast/evo27/starchat/evo27_15_ast_5_14_3_1.txt', 'mutation/subjects/output/c1/ast/evo27/starchat/evo27_15_ast_5_14_3_8.txt']][false positive (not verified) (not pass threshold), 2 - ['mutation/subjects/output/c1/ast/evo27/starchat/evo27_15_ast_5_14_3_10.txt', 'mutation/subjects/output/c1/ast/evo27/starchat/evo27_15_ast_5_14_3_5.txt']]
Input-Output Pair 35: [Failure revealed! (not pass threshold), 14 - ['mutation/subjects/output/c1/ast/evo27/starchat/evo27_15_ast_14_14_5_1.txt', 'mutation/subjects/output/c1/ast/evo27/starchat/evo27_15_ast_14_14_5_2.txt', 'mutation/subjects/output/c1/ast/evo27/starchat/evo27_15_ast_14_14_5_3.txt', 'mutation/subjects/output/c1/ast/evo27/starchat/evo27_15_ast_14_14_5_4.txt', 'mutation/subjects/output/c1/ast/evo27/starchat/evo27_15_ast_14_14_5_5.txt', 'mutation/subjects/output/c1/ast/evo27/starchat/evo27_15_ast_14_14_5_6.txt', 'mutation/subjects/output/c1/ast/evo27/starchat/evo27_15_ast_14_14_5_7.txt', 'mutation/subjects/output/c1/ast/evo27/starchat/evo27_15_ast_14_14_5_9.txt', 'mutation/subjects/output/c1/ast/evo27/starchat/evo27_15_ast_5_14_3_2.txt', 'mutation/subjects/output/c1/ast/evo27/starchat/evo27_15_ast_5_14_3_3.txt', 'mutation/subjects/output/c1/ast/evo27/starchat/evo27_15_ast_5_14_3_4.txt', 'mutation/subjects/output/c1/ast/evo27/starchat/evo27_15_ast_5_14_3_6.txt', 'mutation/subjects/output/c1/ast/evo27/starchat/evo27_15_ast_5_14_3_7.txt', 'mutation/subjects/output/c1/ast/evo27/starchat/evo27_15_ast_5_14_3_9.txt']][false positive (not verified) (not pass threshold), 2 - ['mutation/subjects/output/c1/ast/evo27/starchat/evo27_15_ast_5_14_3_1.txt', 'mutation/subjects/output/c1/ast/evo27/starchat/evo27_15_ast_5_14_3_8.txt']][false positive (not verified) (not pass threshold), 2 - ['mutation/subjects/output/c1/ast/evo27/starchat/evo27_15_ast_5_14_3_10.txt', 'mutation/subjects/output/c1/ast/evo27/starchat/evo27_15_ast_5_14_3_5.txt']]
Input-Output Pair 36: [Failure revealed! (not pass threshold), 16 - ['mutation/subjects/output/c1/ast/evo27/starchat/evo27_15_ast_14_14_5_1.txt', 'mutation/subjects/output/c1/ast/evo27/starchat/evo27_15_ast_14_14_5_2.txt', 'mutation/subjects/output/c1/ast/evo27/starchat/evo27_15_ast_14_14_5_3.txt', 'mutation/subjects/output/c1/ast/evo27/starchat/evo27_15_ast_14_14_5_4.txt', 'mutation/subjects/output/c1/ast/evo27/starchat/evo27_15_ast_14_14_5_5.txt', 'mutation/subjects/output/c1/ast/evo27/starchat/evo27_15_ast_14_14_5_6.txt', 'mutation/subjects/output/c1/ast/evo27/starchat/evo27_15_ast_14_14_5_7.txt', 'mutation/subjects/output/c1/ast/evo27/starchat/evo27_15_ast_14_14_5_9.txt', 'mutation/subjects/output/c1/ast/evo27/starchat/evo27_15_ast_5_14_3_1.txt', 'mutation/subjects/output/c1/ast/evo27/starchat/evo27_15_ast_5_14_3_2.txt', 'mutation/subjects/output/c1/ast/evo27/starchat/evo27_15_ast_5_14_3_3.txt', 'mutation/subjects/output/c1/ast/evo27/starchat/evo27_15_ast_5_14_3_4.txt', 'mutation/subjects/output/c1/ast/evo27/starchat/evo27_15_ast_5_14_3_6.txt', 'mutation/subjects/output/c1/ast/evo27/starchat/evo27_15_ast_5_14_3_7.txt', 'mutation/subjects/output/c1/ast/evo27/starchat/evo27_15_ast_5_14_3_8.txt', 'mutation/subjects/output/c1/ast/evo27/starchat/evo27_15_ast_5_14_3_9.txt']][false positive (not verified) (not pass threshold), 2 - ['mutation/subjects/output/c1/ast/evo27/starchat/evo27_15_ast_5_14_3_10.txt', 'mutation/subjects/output/c1/ast/evo27/starchat/evo27_15_ast_5_14_3_5.txt']]
Input-Output Pair 37: [Failure revealed! (not pass threshold), 14 - ['mutation/subjects/output/c1/ast/evo27/starchat/evo27_15_ast_14_14_5_1.txt', 'mutation/subjects/output/c1/ast/evo27/starchat/evo27_15_ast_14_14_5_2.txt', 'mutation/subjects/output/c1/ast/evo27/starchat/evo27_15_ast_14_14_5_3.txt', 'mutation/subjects/output/c1/ast/evo27/starchat/evo27_15_ast_14_14_5_4.txt', 'mutation/subjects/output/c1/ast/evo27/starchat/evo27_15_ast_14_14_5_5.txt', 'mutation/subjects/output/c1/ast/evo27/starchat/evo27_15_ast_14_14_5_6.txt', 'mutation/subjects/output/c1/ast/evo27/starchat/evo27_15_ast_14_14_5_7.txt', 'mutation/subjects/output/c1/ast/evo27/starchat/evo27_15_ast_14_14_5_9.txt', 'mutation/subjects/output/c1/ast/evo27/starchat/evo27_15_ast_5_14_3_2.txt', 'mutation/subjects/output/c1/ast/evo27/starchat/evo27_15_ast_5_14_3_3.txt', 'mutation/subjects/output/c1/ast/evo27/starchat/evo27_15_ast_5_14_3_4.txt', 'mutation/subjects/output/c1/ast/evo27/starchat/evo27_15_ast_5_14_3_6.txt', 'mutation/subjects/output/c1/ast/evo27/starchat/evo27_15_ast_5_14_3_7.txt', 'mutation/subjects/output/c1/ast/evo27/starchat/evo27_15_ast_5_14_3_9.txt']][false positive (not verified) (not pass threshold), 2 - ['mutation/subjects/output/c1/ast/evo27/starchat/evo27_15_ast_5_14_3_1.txt', 'mutation/subjects/output/c1/ast/evo27/starchat/evo27_15_ast_5_14_3_8.txt']][false positive (not verified) (not pass threshold), 2 - ['mutation/subjects/output/c1/ast/evo27/starchat/evo27_15_ast_5_14_3_10.txt', 'mutation/subjects/output/c1/ast/evo27/starchat/evo27_15_ast_5_14_3_5.txt']]
Input-Output Pair 38: [Failure revealed! (not pass threshold), 15 - ['mutation/subjects/output/c1/ast/evo27/starchat/evo27_15_ast_14_14_5_1.txt', 'mutation/subjects/output/c1/ast/evo27/starchat/evo27_15_ast_14_14_5_2.txt', 'mutation/subjects/output/c1/ast/evo27/starchat/evo27_15_ast_14_14_5_3.txt', 'mutation/subjects/output/c1/ast/evo27/starchat/evo27_15_ast_14_14_5_4.txt', 'mutation/subjects/output/c1/ast/evo27/starchat/evo27_15_ast_14_14_5_5.txt', 'mutation/subjects/output/c1/ast/evo27/starchat/evo27_15_ast_14_14_5_6.txt', 'mutation/subjects/output/c1/ast/evo27/starchat/evo27_15_ast_14_14_5_7.txt', 'mutation/subjects/output/c1/ast/evo27/starchat/evo27_15_ast_14_14_5_9.txt', 'mutation/subjects/output/c1/ast/evo27/starchat/evo27_15_ast_5_14_3_10.txt', 'mutation/subjects/output/c1/ast/evo27/starchat/evo27_15_ast_5_14_3_2.txt', 'mutation/subjects/output/c1/ast/evo27/starchat/evo27_15_ast_5_14_3_3.txt', 'mutation/subjects/output/c1/ast/evo27/starchat/evo27_15_ast_5_14_3_4.txt', 'mutation/subjects/output/c1/ast/evo27/starchat/evo27_15_ast_5_14_3_6.txt', 'mutation/subjects/output/c1/ast/evo27/starchat/evo27_15_ast_5_14_3_7.txt', 'mutation/subjects/output/c1/ast/evo27/starchat/evo27_15_ast_5_14_3_9.txt']][false positive (not verified) (not pass threshold), 2 - ['mutation/subjects/output/c1/ast/evo27/starchat/evo27_15_ast_5_14_3_1.txt', 'mutation/subjects/output/c1/ast/evo27/starchat/evo27_15_ast_5_14_3_8.txt']][false positive (not verified) (not pass threshold), 1 - ['mutation/subjects/output/c1/ast/evo27/starchat/evo27_15_ast_5_14_3_5.txt']]
Input-Output Pair 39: [Failure revealed! (not pass threshold), 14 - ['mutation/subjects/output/c1/ast/evo27/starchat/evo27_15_ast_14_14_5_1.txt', 'mutation/subjects/output/c1/ast/evo27/starchat/evo27_15_ast_14_14_5_2.txt', 'mutation/subjects/output/c1/ast/evo27/starchat/evo27_15_ast_14_14_5_3.txt', 'mutation/subjects/output/c1/ast/evo27/starchat/evo27_15_ast_14_14_5_4.txt', 'mutation/subjects/output/c1/ast/evo27/starchat/evo27_15_ast_14_14_5_5.txt', 'mutation/subjects/output/c1/ast/evo27/starchat/evo27_15_ast_14_14_5_6.txt', 'mutation/subjects/output/c1/ast/evo27/starchat/evo27_15_ast_14_14_5_7.txt', 'mutation/subjects/output/c1/ast/evo27/starchat/evo27_15_ast_14_14_5_9.txt', 'mutation/subjects/output/c1/ast/evo27/starchat/evo27_15_ast_5_14_3_2.txt', 'mutation/subjects/output/c1/ast/evo27/starchat/evo27_15_ast_5_14_3_3.txt', 'mutation/subjects/output/c1/ast/evo27/starchat/evo27_15_ast_5_14_3_4.txt', 'mutation/subjects/output/c1/ast/evo27/starchat/evo27_15_ast_5_14_3_6.txt', 'mutation/subjects/output/c1/ast/evo27/starchat/evo27_15_ast_5_14_3_7.txt', 'mutation/subjects/output/c1/ast/evo27/starchat/evo27_15_ast_5_14_3_9.txt']][false positive (not verified) (not pass threshold), 2 - ['mutation/subjects/output/c1/ast/evo27/starchat/evo27_15_ast_5_14_3_1.txt', 'mutation/subjects/output/c1/ast/evo27/starchat/evo27_15_ast_5_14_3_8.txt']][false positive (not verified) (not pass threshold), 2 - ['mutation/subjects/output/c1/ast/evo27/starchat/evo27_15_ast_5_14_3_10.txt', 'mutation/subjects/output/c1/ast/evo27/starchat/evo27_15_ast_5_14_3_5.txt']]
Input-Output Pair 40: [Failure revealed! (not pass threshold), 14 - ['mutation/subjects/output/c1/ast/evo27/starchat/evo27_15_ast_14_14_5_1.txt', 'mutation/subjects/output/c1/ast/evo27/starchat/evo27_15_ast_14_14_5_2.txt', 'mutation/subjects/output/c1/ast/evo27/starchat/evo27_15_ast_14_14_5_3.txt', 'mutation/subjects/output/c1/ast/evo27/starchat/evo27_15_ast_14_14_5_4.txt', 'mutation/subjects/output/c1/ast/evo27/starchat/evo27_15_ast_14_14_5_5.txt', 'mutation/subjects/output/c1/ast/evo27/starchat/evo27_15_ast_14_14_5_6.txt', 'mutation/subjects/output/c1/ast/evo27/starchat/evo27_15_ast_14_14_5_7.txt', 'mutation/subjects/output/c1/ast/evo27/starchat/evo27_15_ast_14_14_5_9.txt', 'mutation/subjects/output/c1/ast/evo27/starchat/evo27_15_ast_5_14_3_2.txt', 'mutation/subjects/output/c1/ast/evo27/starchat/evo27_15_ast_5_14_3_3.txt', 'mutation/subjects/output/c1/ast/evo27/starchat/evo27_15_ast_5_14_3_4.txt', 'mutation/subjects/output/c1/ast/evo27/starchat/evo27_15_ast_5_14_3_6.txt', 'mutation/subjects/output/c1/ast/evo27/starchat/evo27_15_ast_5_14_3_7.txt', 'mutation/subjects/output/c1/ast/evo27/starchat/evo27_15_ast_5_14_3_9.txt']][false positive (not verified) (not pass threshold), 2 - ['mutation/subjects/output/c1/ast/evo27/starchat/evo27_15_ast_5_14_3_1.txt', 'mutation/subjects/output/c1/ast/evo27/starchat/evo27_15_ast_5_14_3_8.txt']][false positive (not verified) (not pass threshold), 2 - ['mutation/subjects/output/c1/ast/evo27/starchat/evo27_15_ast_5_14_3_10.txt', 'mutation/subjects/output/c1/ast/evo27/starchat/evo27_15_ast_5_14_3_5.txt']]
